aX,aY,aZ,gX,gY,gZ
-0.236,1.144,-0.331,9.888,-1.709,16.113
-0.217,1.232,-0.326,11.719,3.845,16.235
-0.220,1.304,-0.338,12.756,10.315,15.991
-0.189,1.360,-0.340,14.099,18.066,16.846
-0.099,1.377,-0.284,14.893,22.217,18.127
-0.140,1.368,-0.227,14.709,23.804,19.714
-0.126,1.364,-0.215,13.306,26.184,19.409
-0.127,1.373,-0.247,11.047,30.090,18.738
-0.094,1.427,-0.277,8.057,35.767,18.127
-0.023,1.490,-0.310,6.287,40.588,20.447
0.079,1.529,-0.296,4.700,44.373,22.705
0.171,1.599,-0.322,4.150,45.837,24.780
0.236,1.676,-0.414,4.578,48.035,25.024
0.298,1.706,-0.485,4.272,48.096,23.987
0.327,1.768,-0.571,5.127,53.162,39.368
0.282,1.728,-0.604,5.432,62.378,47.791
0.139,1.625,-0.655,3.174,68.604,43.640
-0.117,1.701,-0.708,3.174,81.665,44.678
-0.160,1.751,-0.687,5.432,99.121,51.880
-0.073,1.761,-0.697,8.667,109.131,54.871
-0.042,1.661,-0.717,8.667,106.140,61.646
-0.364,1.453,-0.648,2.197,94.666,76.599
-0.580,1.455,-0.647,-2.319,62.012,96.008
-0.982,1.550,-0.642,-3.052,26.672,109.619
-1.383,1.661,-0.514,-4.883,7.385,122.498
-1.579,1.853,-0.406,0.183,7.324,139.771
-1.344,1.984,-0.430,8.545,21.057,153.381
-0.970,1.912,-0.422,14.221,40.405,156.616
-0.715,1.803,-0.319,21.118,54.565,156.555
-0.533,1.561,-0.330,24.902,62.073,155.823
-0.332,1.364,-0.317,26.306,56.702,152.283
-0.278,1.246,-0.254,25.146,39.001,150.513
-0.271,1.127,-0.241,23.437,17.761,150.330
-0.166,1.013,-0.227,20.813,-7.507,146.606
-0.068,0.904,-0.226,16.724,-30.518,138.489
0.058,0.768,-0.231,12.512,-48.401,127.258
0.084,0.588,-0.227,6.714,-54.382,113.770
0.114,0.510,-0.200,3.845,-49.011,96.802
0.150,0.546,-0.146,5.066,-36.621,76.233
0.180,0.532,-0.105,11.108,-21.240,56.580
0.268,0.433,-0.031,16.052,-6.531,40.100
0.389,0.320,0.054,18.127,1.282,21.973
0.481,0.277,0.121,21.484,1.343,1.526
0.541,0.218,0.159,19.836,-7.568,-16.724
0.588,0.245,0.151,18.494,-19.775,-33.997
0.576,0.252,0.106,17.944,-32.104,-48.767
0.513,0.188,0.073,14.587,-41.748,-60.425
0.430,0.135,0.051,10.376,-48.157,-72.876
0.286,0.092,0.024,7.324,-50.049,-87.036
0.248,0.077,-0.009,4.517,-47.729,-102.051
0.268,0.090,0.001,1.465,-44.983,-116.699
0.224,0.139,0.025,-1.892,-44.678,-127.075
0.080,0.190,0.020,-3.723,-44.250,-134.338
0.033,0.181,-0.016,-3.113,-46.692,-141.357
-0.001,0.148,-0.001,-5.554,-50.171,-148.132
-0.093,0.172,-0.019,-9.583,-53.650,-151.917
-0.221,0.223,-0.010,-11.902,-57.556,-150.940
-0.284,0.186,0.045,-15.259,-63.660,-144.653
-0.382,0.242,0.007,-16.052,-75.684,-138.916
-0.617,0.230,-0.027,-15.930,-84.717,-133.667
-0.778,0.235,-0.057,-16.418,-91.003,-127.747
-0.942,0.267,-0.125,-18.066,-93.262,-119.629
-1.158,0.283,-0.165,-17.883,-92.590,-108.032
-1.315,0.286,-0.199,-17.029,-89.233,-94.788
-1.446,0.284,-0.224,-17.090,-86.426,-80.811
-1.552,0.306,-0.213,-15.198,-78.064,-64.575
-1.569,0.309,-0.151,-10.132,-63.538,-47.485
-1.521,0.284,-0.117,-4.883,-50.110,-27.222
-1.339,0.205,0.004,-2.563,-41.199,-7.751
-1.321,0.009,-0.075,-11.414,-42.114,10.559
